"numCDA","probRecuperacao","stsRecuperacao"
16660101050601,2.7784,0
16660101210601,0.1089,0
16660101053101,9.3231,0
16660105331001,0.0001,0
16660105300301,0.0001,0
16660105362301,0.0001,0
16660103125301,0.0078,0
16660606160601,0.0023,0
16660602053301,0.0007,0
16660602036601,0.0029,0
16660601060301,0.0002,0
16660601120101,0.3797,0
16660603036201,88.9669,0
16661001603600,0.0884,0
16665102335101,0.0005,0
16620100336001,0.0009,0
16620100612601,0.0001,0
16620102523601,0.5471,0
16620103132201,22.5648,0
16620111016601,0.0006,0
16620116306001,94.7372,0
16620112103201,0.0225,0
16620115330601,0.0009,0
16620113666301,0.0011,0
16620113200301,0.0001,0
16620113266201,0.0001,0
16620113553001,0.0053,0
16620113023001,0.0022,0
16620600100101,0.0003,0
16620601111201,0.0002,0
16620602611101,0.0069,0
16620601300601,0.0171,0
16620605661601,0.5690,0
16620605603501,0.0015,0
16620600626301,0.0003,0
16620600220001,0.0037,0
16620600010001,0.0033,0
16620603113301,0.0033,0
16620603661101,0.0006,0
16620606126301,0.0014,0
16620611310601,0.0018,0
16620611623101,0.0018,0
16610100615201,52.6214,0
16610100115101,0.0007,0
16610106056301,0.0323,0
16610102233601,0.0049,0
16610101166001,0.8024,0
16610105310001,0.0036,0
16610105600601,0.0014,0
16610103306301,0.0011,0
16610100211101,0.0070,0
16610100112601,3.5992,0
16610100502601,0.0009,0
16610106513001,0.0298,0
16610111201001,0.0005,0
16610111531101,0.0011,0
16610111531301,0.0040,0
16610111665601,0.0001,0
16610110033101,99.9732,0
16610110111301,0.0163,0
16610110550301,0.0006,0
16610160503301,0.0001,0
16610160353001,0.0001,0
16610160312001,0.0277,0
16610161152101,0.0049,0
16610161633501,0.0105,0
16610161013001,0.0663,0
16610162100601,0.0818,0
16610606633301,0.0011,0
16610601112201,0.0155,0
16610601366601,0.0061,0
16610605616001,0.0631,0
16610605633601,0.0042,0
16610603013601,0.0093,0
16610603660601,0.0220,0
16610603660301,0.0226,0
16610603633001,0.0007,0
16610603166601,0.0445,0
16610603536301,0.0054,0
16610603516606,0.0759,0
16610603056301,0.0090,0
16610603323501,0.0431,0
16610610165001,0.0106,0
16610611633501,0.2012,0
16610611300001,0.0572,0
16610615620001,0.0193,0
16610613510001,0.0030,0
16610616356001,0.0112,0
16610660356502,0.0062,0
16610666605101,0.0265,0
